company,date,numTweets,avgSubj,avgPol,medianDate,sumRetweet,sumFavorite,sumFollowers,numVerified,medianTime,numTweets_over_followers,sumRetweets_over_followers,sumFavorites_over_sumFollowers,sumFollowers_over_followers,numVerified_over_followers,avjSubj_std,avgPol_std,medianTime_std,numTweets_over_followers_std,sumRetweets_over_followers_std,sumFavorites_over_sumFollowers_std,sumFollowers_over_followers_std,numVerified_over_followers_std,open,close,change,categorical,change_std,outlier?
@ibm,2017-11-22,368,0.311839327,0.148486062,2017-11-22 17:36,17787,56773,1854873,15,0.733842593,0.906403941,43.81034483,139.8349754,4568.652709,0.036945813,-0.365071062,0.05576114,-0.222802835,0.315723771,-0.129212351,-0.111636178,-0.151363079,0.519300179,152,151.77,-0.001513158,DOWN,-0.277710512,0
@ibm,2017-11-21,968,0.367950739,0.042762499,2017-11-21 18:05,80810,290851,6654111,22,0.753703704,2.384236453,199.0394089,716.3817734,16389.43596,0.054187192,0.600431084,-1.453059727,0.482687805,2.256844858,0.025292686,0.266146684,1.370610084,1.147452443,151.3,151.95,0.0042961,UP,0.472890753,0
@ibm,2017-11-20,477,0.332622254,0.153567773,2017-11-20 17:55,22228,34803,3700888,13,0.747013889,1.174876847,54.74876847,85.72167488,9115.487685,0.032019704,-0.007461792,0.128284159,0.245057508,0.668360768,-0.118324947,-0.147093972,0.434060125,0.339828104,150.64,150.51,-0.000862985,DOWN,-0.193703076,0
@ibm,2017-11-17,583,0.252942755,0.094732494,2017-11-17 17:30,29610,38617,3553195,25,0.729398148,1.435960591,72.93103448,95.11576355,8751.711823,0.061576355,-1.378497124,-0.711376312,-0.380674867,1.01129216,-0.100227488,-0.140938486,0.387222527,1.416660556,149.34,148.83,-0.003415026,DOWN,-0.523446646,0
@ibm,2017-11-16,842,0.31953576,0.138845657,2017-11-16 16:53,22132,63415,5736899,40,0.703946759,2.073891626,54.51231527,156.1945813,14130.2931,0.098522167,-0.232639482,-0.081820707,-1.284738922,1.84920943,-0.118560297,-0.10091653,1.079736398,2.762701121,147.73,147.5,-0.001556894,DOWN,-0.283361599,0
@ibm,2017-11-15,776,0.336203115,0.14503842,2017-11-15 17:05,30481,102526,9061562,64,0.712233796,1.911330049,75.07635468,252.5270936,22319.11823,0.157635468,0.054153639,0.006558546,-0.990373363,1.63568611,-0.098092174,-0.037794556,2.134080413,4.916366025,148,146.21,-0.012094595,DOWN,-1.644914254,0
@ibm,2017-11-14,873,0.329868826,0.168212745,2017-11-14 18:26,54434,192187,8192859,39,0.768171296,2.150246305,134.0738916,473.3669951,20179.45567,0.096059113,-0.054839691,0.33728809,0.996594158,1.949500686,-0.039369816,0.106911009,1.858590293,2.672965084,147.95,147.49,-0.003109158,DOWN,-0.483926176,0
@ibm,2017-11-13,737,0.269780129,0.124953726,2017-11-13 16:47,38104,108406,7342441,31,0.699652778,1.815270936,93.85221675,267.0098522,18084.83005,0.07635468,-1.088778505,-0.280077704,-1.437266327,1.50951324,-0.079403887,-0.028304714,1.58889886,1.955076782,148.88,147.92,-0.006448146,DOWN,-0.915349295,0
@ibm,2017-11-10,876,0.359802262,0.128572657,2017-11-10 17:21,34389,76109,4745671,29,0.723194444,2.157635468,84.70197044,187.4605911,11688.84483,0.071428571,0.460221251,-0.228430576,-0.601037911,1.959206291,-0.088511454,-0.080429446,0.765390159,1.775604707,150.65,149.14,-0.010023233,DOWN,-1.377278216,0
@ibm,2017-11-09,541,0.285670409,0.117116424,2017-11-09 18:26,24076,45933,4434956,9,0.768541667,1.332512315,59.30049261,113.135468,10923.53695,0.022167488,-0.81535641,-0.391926794,1.00975016,0.875413684,-0.113794453,-0.129131057,0.666853706,-0.019116047,149.93,149.86,-0.000466885,DOWN,-0.142523875,0
@ibm,2017-11-08,746,0.283593334,0.170670576,2017-11-08 17:57,68578,164477,6822925,58,0.748159722,1.837438424,168.91133,405.1157635,16805.23399,0.142857143,-0.851096379,0.372364712,0.285758891,1.538630056,-0.004694868,0.062189322,1.424145745,4.377949799,151.6,150.28,-0.008707124,DOWN,-1.207226765,0
@ibm,2017-11-07,685,0.254485826,0.121506407,2017-11-07 17:24,23090,81799,4028826,36,0.725451389,1.687192118,56.87192118,201.4753695,9923.216749,0.088669951,-1.351945679,-0.3292757,-0.52086852,1.341282745,-0.116211697,-0.071246249,0.538058476,2.403756971,151.37,150.5,-0.005747506,DOWN,-0.824821163,0
@intel,2017-11-24,161,0.340895333,0.012450981,2017-11-24 17:03,7272,37586,958798,6,0.710532407,0.033682008,1.521338912,7.863179916,200.5853556,0.00125523,0.134892056,-1.885646844,-1.05080875,-0.83058945,-0.171304111,-0.198110829,-0.713769237,-0.781008798,44.55,44.75,0.004489338,UP,0.497858519,0
@intel,2017-11-22,353,0.264550322,0.081223015,2017-11-22 18:01,30238,39646,555789,1,0.751064815,0.073849372,6.325941423,8.294142259,116.2738494,0.000209205,-1.178767134,-0.904175183,0.388951287,-0.777829941,-0.166521918,-0.19782844,-0.724624681,-0.819118455,44.94,44.65,-0.006453049,DOWN,-0.915982717,0
@intel,2017-11-21,403,0.2621699,0.10343634,2017-11-21 17:43,18630,45357,2299905,12,0.73849537,0.084309623,3.89748954,9.488912134,481.1516736,0.00251046,-1.21972677,-0.587160446,-0.057530552,-0.764090486,-0.168939043,-0.197045566,-0.6776452,-0.735277211,44.72,44.94,0.004919499,UP,0.553438695,0
@intel,2017-11-20,241,0.319062064,0.205326756,2017-11-20 17:40,63122,88914,2116230,6,0.736458333,0.05041841,13.20543933,18.60125523,442.7259414,0.00125523,-0.240790314,0.866956144,-0.129888567,-0.808606321,-0.159674508,-0.191074694,-0.682592667,-0.781008798,44.73,44.62,-0.0024592,DOWN,-0.399946447,0
@intel,2017-11-17,421,0.33495791,0.134256053,2017-11-17 17:49,153945,1052019,1930630,10,0.742685185,0.088075314,32.20606695,220.0876569,403.8974895,0.00209205,0.032727541,-0.147320683,0.091296727,-0.759144282,-0.140762504,-0.059050529,-0.687591986,-0.750521073,45.5,44.63,-0.019120879,DOWN,-2.552764744,0
@intel,2017-11-16,446,0.342871732,0.133792026,2017-11-16 17:15,143948,945268,8676720,12,0.719016204,0.093305439,30.11464435,197.7548117,1815.213389,0.00251046,0.168899707,-0.153942995,-0.749454065,-0.752274554,-0.142844171,-0.073684148,-0.505879414,-0.735277211,45.63,45.65,0.000438308,UP,-0.025565956,0
@intel,2017-11-15,610,0.278555845,0.131670245,2017-11-15 18:06,188118,1258555,8185081,25,0.75474537,0.127615063,39.35523013,263.2960251,1712.360042,0.005230126,-0.937775828,-0.184223731,0.519689063,-0.70720914,-0.133646686,-0.030738203,-0.519122194,-0.636192105,45.39,45.46,0.00154219,UP,0.117064137,0
@intel,2017-11-14,413,0.317886975,0.146377659,2017-11-14 17:54,140431,602175,2336647,11,0.745844907,0.086401674,29.37887029,125.9780335,488.8382845,0.002301255,-0.26100992,0.025671338,0.203533874,-0.761342595,-0.143576514,-0.120715953,-0.676655518,-0.742899142,45.7,45.86,0.003501094,UP,0.37016976,0
@intel,2017-11-13,339,0.413373729,0.267777363,2017-11-13 18:10,36275,144295,2048015,10,0.757037037,0.070920502,7.588912134,30.18723849,428.4550209,0.00209205,1.38201888,1.758212325,0.601091829,-0.781676989,-0.165264838,-0.183482967,-0.684430105,-0.750521073,45.26,45.75,0.010826337,UP,1.316647957,0
@intel,2017-11-10,330,0.316131441,0.15310685,2017-11-10 17:45,19854,73869,4077966,14,0.739583333,0.069037657,4.153556485,15.45376569,853.1309623,0.00292887,-0.291217184,0.121706155,-0.018884795,-0.784150091,-0.16868417,-0.19313709,-0.629751378,-0.720033348,46.04,45.58,-0.009991312,DOWN,-1.373153807,0
@intel,2017-11-09,459,0.400975078,0.164504782,2017-11-09 18:05,33208,125272,11336102,45,0.753472222,0.096025105,6.947280335,26.20753138,2371.569456,0.009414226,1.168676822,0.284370345,0.474465303,-0.748702296,-0.165903477,-0.186090674,-0.434246343,-0.48375348,46.05,46.3,0.005428882,UP,0.619254873,0
