company,date,avjSubj_std,avgPol_std,medianTime_std,numTweets_over_revenue_std,sumRetweets_over_revenue_std,sumFavorites_over_revenue_std,sumFollowers_over_revenue_std,numVerified_over_revenue_std,stock_mvmt
@IBM,2017-11-08,-0.8123934,0.263926952,0.370387449,-0.338417244,-0.221722119,-0.305151277,-0.260886129,1.076534344,DOWN
@IBM,2017-11-07,-1.294536646,-0.404130959,-0.562235978,-0.437710091,-0.289206723,-0.373779297,-0.601329151,0.030894104,DOWN
@intel,2017-11-17,0.038420876,-0.230884826,0.145550099,-0.739961661,-0.052590025,0.594003923,-0.81322301,-1.116449995,DOWN
@intel,2017-11-16,0.169507193,-0.237190175,-0.826526817,-0.691698105,-0.070180142,0.488910718,0.1616453,-1.003709282,UP
@intel,2017-11-15,-0.895835486,-0.26602159,0.640857749,-0.37508918,0.00753872,0.797332511,0.090599215,-0.270894648,UP
@intel,2017-11-14,-0.244345883,-0.066172694,0.275318802,-0.755405999,-0.076368442,0.151145799,-0.754550045,-1.060079639,UP
@intel,2017-11-13,1.337317983,1.583443965,0.73497571,-0.898266123,-0.259635042,-0.299623528,-0.796259863,-1.116449995,UP
@intel,2017-11-10,-0.273424945,0.025265624,0.018158112,-0.915641003,-0.288528441,-0.368955844,-0.502914399,-0.890968569,DOWN
@intel,2017-11-09,1.131943967,0.180144244,0.588569993,-0.666601056,-0.26503155,-0.31835111,0.545948983,0.856512481,UP
@intel,2017-11-08,2.34549719,1.234706083,0.84525534,-0.579726656,-0.214518689,-0.352322231,0.471402466,0.349179273,UP
@intel,2017-11-07,2.589533811,2.439908538,1.729393757,0.256198128,-0.0101165,-0.160262877,0.277618832,2.209401036,UP
@intel,2017-11-06,-0.571249871,-0.273637206,0.474487617,-0.618337501,-0.271957098,-0.297400594,-0.349718186,0.010957134,UP
@microsoft,2017-11-17,-0.086749908,-0.311891674,0.202591287,-0.130994074,-0.259220425,-0.306266873,-0.138018192,0.100578144,DOWN
@microsoft,2017-11-16,-0.044891585,-0.403678609,-0.400619279,0.204426506,-0.233859246,-0.351044659,0.459957041,0.582859647,DOWN
@microsoft,2017-11-15,0.116536578,-0.229551729,-0.506145477,0.086266983,-0.263264133,-0.382530092,0.945524662,0.397366761,DOWN
@microsoft,2017-11-14,-0.053253016,-0.008047339,-0.629259374,0.123112426,-0.25572908,-0.361460975,0.641537077,0.842549687,DOWN
@microsoft,2017-11-13,0.025536686,0.212465616,-0.196697031,-0.166568984,-0.254591932,-0.340654258,1.630897161,-0.159111896,DOWN
@microsoft,2017-11-10,-0.235363724,-0.383416556,-0.580774365,-0.197061764,-0.260142187,-0.33816502,0.514155573,0.323169607,UP
@microsoft,2017-11-09,0.235704885,-0.30227719,-0.038883077,0.162498933,-0.170398977,-0.135235064,0.070357395,0.137676721,DOWN
@microsoft,2017-11-08,-0.599368617,-0.239134683,-0.466691988,1.736688697,0.702525388,3.237205651,-0.051571398,0.879648265,UP
@microsoft,2017-11-07,0.04423095,-0.420810318,-0.067403671,0.840963287,-0.245448428,-0.146389988,0.396701059,0.619958224,DOWN
@microsoft,2017-11-06,0.087703355,-0.125549602,0.84525534,0.030363553,-0.259498343,-0.24398019,1.196904334,1.324831191,UP
